,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
77,Reloj,"Rauw Alejandro",1058323,https://open.spotify.com/track/4loQgPwJHocL3dFwLfjb1J
78,"Martin & Gina","Polo G",1051039,https://open.spotify.com/track/1VLtjHwRWOVJiE5Py7JxoQ
79,"What You Know Bout Love","Pop Smoke",1046823,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
80,Shallow,"Lady Gaga",1041291,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
81,"Headshot (feat. Polo G & Fivio Foreign)","Lil Tjay",1034643,https://open.spotify.com/track/4eNOLmx8r2IJAVKvBBL1jv
82,"Lonely (with benny blanco)","Justin Bieber",1028536,https://open.spotify.com/track/3S8jK1mGzQi24ilFb45DAZ
83,Hawái,Maluma,1017882,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
84,Levitating,"Dua Lipa",1010716,https://open.spotify.com/track/39LLxExYz6ewLAcYrzQQyP
85,Señorita,"Shawn Mendes",1008212,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
86,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1003221,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
87,"Prisoner (feat. Dua Lipa)","Miley Cyrus",1002644,https://open.spotify.com/track/2Oycxb8QbPkpHTo8ZrmG0B
88,"Slumber Party (feat. Princess Nokia)",Ashnikko,989948,https://open.spotify.com/track/11ZulcYY4lowvcQm4oe3VJ
89,BICHOTA,"KAROL G",988330,https://open.spotify.com/track/1WvrDdouh6C51In1SdATbq
90,"Batom de Cereja - Ao Vivo","Israel & Rodolffo",986747,https://open.spotify.com/track/2MZQAvsA7aZDssppBLRxYp
91,"On The Ground",ROSÉ,983437,https://open.spotify.com/track/2pn8dNVSpYnAtlKFC8Q0DJ
92,Memories,"Maroon 5",981067,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
93,Believer,"Imagine Dragons",979412,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
94,"Otra Noche Sin Ti","J Balvin",975993,https://open.spotify.com/track/2CdTLdDjwZdVcm0bresVWx
95,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",975626,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
96,"Adore You","Harry Styles",965095,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
97,"death bed (coffee for your head)",Powfu,948688,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
98,"Take Me To Church",Hozier,945094,https://open.spotify.com/track/3dYD57lRAUcMHufyqn9GcI
99,"Say You Won't Let Go","James Arthur",944960,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
100,"Follow You","Imagine Dragons",944673,https://open.spotify.com/track/7FdUvDkaE24o3FPIWTvzv2
101,"Wasted Love (feat. Lagique)",Ofenbach,943362,https://open.spotify.com/track/2pPO9YecZimmuVQfIzfV6U
102,goosebumps,"Travis Scott",942792,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
103,"As I Am (feat. Khalid)","Justin Bieber",939353,https://open.spotify.com/track/6F2r4HgpJnvKDmkN6JEN6J
